bh-coords,bh-region,bh-system,ex-coords,ex-region,ex-system
06CD:0081:0F4E:0079,Nikklicho-Cluster,"""�Ahirish-Gexi""""-""",0C49:0083:0209:0050,Cakhamp-Instabilitat,"""�Roranon I""""-"""
06D6:007D:0A72:0079,Ebkaus Conflux,Ayevoik,05E0:0080:0668:0045,The Arm of Reltond,Colarfo
06D9:007D:022B:0079,Ezdarry Expanse,Mirjoi,089B:007F:0DDA:000A,Lebastos Nebula,Necolyme
06D9:0080:0575:0079,Natcha Fringe,Whitne-Oroz,0A8C:007B:08F1:0075,Puccio Nebula,Nobeoka-Hei IX
06DB:007C:0C6A:0079,Ryoidaway Band,Yemdoi XVII,09AD:007B:0C2D:003B,Unsaxac Boundary,Iellia
06DD:007F:0A54:0079,Bitetetia Void,Puziamen,0708:0083:05A9:005F,Leodzh,Ensahchye IV
06DD:0081:0DAA:0079,Gourein Instability,Agdurmat,08A3:0083:024E:000A,Yissongas Spur,Upolyimfo
06E1:007E:0879:0079,Yechelog Boundary,Binsky,0901:007B:0773:0073,The Arm of Gugurs,Nanbindid
06E3:007F:0C63:0079,Cakienae Conflux,Ration-Cheon,0497:0081:0AE4:0037,Lufredod Nebula,Ikahokut XIII
06E5:007D:0E99:0079,Babank Quadrant,Ilibinka,0663:0080:018E:001B,Idelhe,Owdzan
06E9:007F:076B:0079,Arnobo,Kamedhon II,08DB:0081:08C9:0063,Arnobo,Kamedhon II
06EE:0081:088C:0079,Voguojialf Nebula,Itangm,075C:007C:08F0:0069,Ucismi Terminus,Mitches
06EF:007B:0646:0079,Ukheil Fringe,Tianyung XIII,063E:007C:0720:006B,Lokunab Adjunct,Rapula-Kaiz
06EF:007D:0BC4:0079,Arunne Cloud,Snuning-Nuco,0A15:0080:04C1:0042,Itoq,Nequanan-Iurak
06EF:007F:01FB:0079,Ayleodo Band,Zakina-Ano,042A:007B:0351:005B,Xedibi Void,Naupac XII
06F2:007E:07E1:0079,Hemayo Terminus,Tinesjo,07F3:0082:0701:006B,Hemayo Terminus,Tinesjo
06F2:007E:0991:0079,Fotramowo Sector,Hikawan-Saya,067B:0081:06FA:005A,Jupaipa Quadrant,Aupsat I
06F4:0081:0A41:0079,Umodinn Fringe,Zobink-Amur,0A19:0081:0935:004D,Iwattutam Shallows,Hiwakat-Misa V
06F7:007C:025F:0079,Haklosn Void,Upanlong,036F:007C:04A6:003D,Zeppergh,Fuefuka
06F7:007D:025F:0079,Sea of Mobice ,Ragitsr,0943:007D:0279:000B,Olwanat Quadrant ,Emenzel System
06F8:0080:015D:0079,Kunoira Boundary,Qowayna,0C8E:007D:0CD6:0063,Atsairog,Qowayna
06F9:0082:0FFE:0079,The Arm of Babbes,Eitung-Gim X,013A:0081:03BA:003C,The Arm of Babbes,Eitung-Gim X
06FA:0080:01EF:0079,Imnias Instability,Nazyva-Sahag,02CD:007F:04D0:0020,Sischowe,Vebox-Ape
06FB:0082:012C:0079,Xetrgg,Ahalli,0AEA:007C:01D0:004F,Waskyoli Terminus,Ahalli
06FD:007F:0978:0079,Javanoi Band,Ratofte-Ale,072B:0080:067D:0066,Ebscohe,Runinnin IV
0700:007C:0D05:0079,Maholsz Spur,Etianz-Gourt,0A9A:0081:0C57:0031,Cuculayan Void,Anoiseu-Sipp
0702:007D:07DD:0079,Edkubaue,Meyaga-Athli,08C7:007D:0881:0069,Edshur Mass,Niceste-Yihyta
0705:0080:06ED:0079,Giyress Anomaly,Nectiu,095F:007E:082D:0065,Naiwan Conflux,Insbor X
0705:0080:0B84:0079,Slulume Band,Irishid,04E0:0080:09C6:004A,Stmaszeb Void,Masamya-Ibay XVI
0705:0083:050E:0079,Toneyramp Mass,Eorgete-Rald,05F1:0081:05C4:0077,Sikovsz,Gumaeli-Hove
0706:007D:0CAC:0079,Nudakiyan Cloud,Arampto-Oila VI,0616:0083:0C4E:006D,Ovakite Band,Iuquanew
0708:0082:0AB9:0079,Aslesa Band,Kojima VI,05D4:007F:062E:0058,Aslesa Band,Kojima VI
0708:0083:05A9:0079,Leodzh,Rekhoku,076A:0083:0A65:004B,Laauwe Boundary,Eijoitusk
0709:007F:0857:0079,Ifereb Cluster,Baixoisa,070D:0082:07DC:006A,Huveln Boundary,Iakare-Pra
070D:0082:07DC:0079,Huveln Boundary,Nuschoro,0765:007E:08A6:006F,Costol Boundary,Etouch-Lobior VI
070E:007C:04B9:0079,Bojirukh Band,Doporki II,08D2:0080:0B3D:004E,Hyiaru Cluster,Hatsuku III
0711:007E:049F:0079,Koonel Boundary,Pedrusa-Uslu,04B5:007E:0700:0065,Yuneufay Nebula,juraz-Zadnim III
0715:0080:0733:0079,Nicagnu Quadrant,Avkarye-Machi XVII,07E9:007D:06DA:0065,Akuxia,Ishisom-Rabi
0719:007C:05A2:0079,Arhuss Quadrant,Novarda-Noyen,08D2:0080:05AC:0065,Lakers Boundary,Miasostry
0719:0083:021B:0079,Exparowfo Cluster,Werenatani XVIII System,0A92:007B:02B2:006F,Ulfufre,Furanoy IX System
0723:007D:0826:0079,Nacanas Mass,Ideford-Pikaa,08C5:0080:07C5:0078,Yumyers,Deykhasa XIX
0725:0082:0362:0079,Uujju Mass,Orongq VIII,0C93:007E:08B3:0039,Aonggi Cloud,Hagiag
0726:007F:0696:0079,Torakt Conflux,Unnian,083F:007E:0670:006F,Ushuldr,Beokak
0728:007C:083C:0079,Zinekpeli Sector,Hezhgor-Nosto,08BC:007E:0852:006E,Astesa Band,Agboka-Aes
0728:007E:0761:0079,Pokojia,Qudoim-Loched,08EC:007F:07AE:0066,Xetesu Instability,Piruth
072A:0080:059C:0079,Hudithist Nebula,Diledeark,066C:007B:0619:0058,Acvice Void,Desburg-Egur III
072B:0080:067D:0079,Ebscohe,Norcan,0966:007B:071D:0063,Ecomeirr Adjunct,Uuraya
0734:007E:096B:0079,Lescopal Cloud,Jevota,0845:0080:0989:006A,Zonyuets Fringe,Kananabas
073D:0081:05B6:0079,Ectezc Instability,Gileye,05A7:007E:07E7:004D,Peylero,Toyrnyans
073E:007D:0BE9:0079,Alokyrjane Mass,Rodneyr,06EF:007D:0BC5:006F,Himercy Expanse,Bayangdin XIV
073E:007F:012C:0079,Reliong Sector,Vaikhe,0E61:007C:0A5B:0042,The Arm of Apredj,Esenhe-Ninurt V
0741:0080:07B3:0079,Aalter Sector,Izawag-Banna XIll,07CC:007E:074A:006F,Alps Boundary,Cokharl
0743:007C:0C3F:0079,Adjalandi Conflux,Norarbor,0C24:0082:08F3:0041,Guglesau Fringe,Lekspe I
0743:007C:0E84:0079,Sozonyin Instability,Rudingja,0AA7:007D:020E:0002,Unjini Shallows,Ilyrys-Negc
0743:007D:09F4:0079,Gucurics Mass,Sapporo-Gugle,0899:007D:060F:0057,Wotyai Void,Rugameg
0744:0080:0234:0079,Dadhasepp Band,Tomeso-Ducas,0254:007C:06E2:005F,Cekyache Band,Riinak-Eak
0746:007C:0C4D:0079,Joienu Cluster,Yuanhuij XII,03C2:007B:073E:0039,Kaqchi Expanse,Hatosaal
0746:007D:0FD5:0079,Lazdon Band,Hongpohan,08A4:0080:0036:0034,Hyniug Expanse,Suchuo
0748:007C:0830:0079,Omovoi Quadrant,Duygeys XV,084D:0083:0765:006E,Unovit Fringe,Texann
0748:0084:09EF:0079,Herivojudry Cluster,Inkirs XVII,09B7:0080:0905:006C,Herivojudry Cluster,Inkirs XVII
074A:007C:08F5:0079,Vizcaici Spur,Okaiyor,0902:0080:087F:0066,Uijimo,Unafut-Badung
074A:0081:0761:0079,Kizand Spur,Osekin,0754:0083:076F:0074,Kizand Spur,Osekin
074C:0081:0931:0079,Sea of Teorim,Iocess-Diyan XII,0938:0080:087F:006A,Odhish Adjunct,Mosgrozny
074C:0083:0849:0079,Aucurle Fringe,Shayka-Jul,088E:007F:0867:006C,Oethen Void,Idzhac-Amiti
0750:0080:0C6C:0079,Gotiapa Nebula,Ikyushi,0394:0080:07F4:0054,Ofskojir Fringe,Uibuqiao
0751:007E:0B2C:0079,Vukubas Band,Igarey-Uide,05F3:0080:0A70:0054,Lotoma Cloud,Relatyr-Aumen
0751:0080:05F2:0079,Yopant Cloud,Tebaya-Fanag,08D7:007C:09EB:004E,Zihnelae,Hovento
0752:0083:076D:0079,Kejelabe Shallows,Shtour,08AC:0082:0789:0073,Kejelabe Shallows,Shtour
0753:007E:0670:0079,Yupish Expanse,Joyoneza XVIII,066A:007E:0795:005B,Awurmary Mass,Reshid-Atoma VII
0753:007F:08F3:0079,Zihures Boundary,Osskyv-Teya,08F6:007C:0777:0076,Banubi Band,Iushval-Ewc
0754:007D:0217:0079,Sea of Dafiens,Yuhteik-Osh,021E:007B:079D:000B,Ennakonab Instability,Dozhga-Nedala
0755:0081:0771:0079,Yenangl Cloud,Orbuky XII,080B:0082:08CC:006A,Peponto,Uodetar-Iyi VI
0757:0080:0A01:0079,Sea of Uqulel,Anyore,09F6:0082:0894:0060,Thramj Sector,Onjoseia IV
0759:0082:0D8E:0079,Ragrend Fringe,Zusumzo,0343:007B:0520:0042,Ragrend Fringe,Zusumzo
075C:007C:08F0:0079,Ucismi Terminus,Tasipp XI,0861:007C:06FF:0070,Osgare Conflux,Shleaha-Ritsu
075C:007E:0A3D:0079,Tozespra Expanse,chits-Hisom XIII,0A3B:007F:0862:005A,The Arm of Zechkenga,Hooey-Restr
075E:0082:06D7:0079,Viyatian Adjunct,Lecheng-Ician,0924:0082:077D:0069,Imfaxim Terminus,Pepleje
075F:0080:05CD:0079,Upernicof Boundary,Nasunde-Oil V,0865:0080:0A2E:0069,Atsogh Cloud,Biogramsk
0765:007E:080C:0079,Jubiab Terminus,Oetoma-Nowe IX,07F5:007E:0888:0076,Oxeter Boundary,Kahnaidel
0765:007E:08A6:0079,Costol Boundary,Saitaiba,08C6:007D:07BB:006F,Sea of Grabruc,Utorzh-Oluc
0765:007E:0C89:0079,Litgama,Natstype,06C0:0082:03A6:002C,Wiguaje,Aezawa VII
0767:0082:0821:0079,Upanuit Nebula,Porlya XIl,07E8:007D:0776:0076,Ukladg Instability,Baxoisa
0768:0082:07A0:0079,The Arm of Oogeom,Kayoggni IX,07CD:007F:0765:0073,The Arm of Oogeom,Kayoggni IX
076A:0083:0A65:0079,Laauwe Boundary,Sifilima,0A37:007E:08EC:0062,Kissach Conflux,Genzhe-Kihru
076B:0081:010C:0079,Zeyskyan Shallows,Unkyot-Kall,0E5C:007C:054D:0054,Tuzuppia,Uuleuma-Yomna
0771:007E:07EF:0079,Dajeranem,Ginitsk-Uchi,07E0:0082:0879:0070,The Arm of Cukeans,Portse-Via XIV
0774:0082:0E31:0079,Nolukuj Cluster,Simlya-Iyama,0C62:007D:0C53:0023,Jabies Instability,Lunarse-Abb
077C:0080:0543:0079,Yocrosiw Void,Nugotawan,0A73:007E:06D2:0050,Gutianma,Wutogq-Lebsk XIX
077F:0081:082D:0079,Gokoko Cluster,Ebeytz-Alp,078E:007F:0826:0074,Adigosa Conflux,Moonothnel X
0780:0081:0B86:0079,Ohinoys,Iashim-Noar,063C:0081:04F8:0051,Sea of Sosbeta,Buchar II
0786:0081:0523:0079,Pechaen Boundary,Ompend-Pic V,0982:007E:0A65:0066,Sea of Ednast,Karpins
0787:007C:0705:0079,Friyshe Conflux,\bdunh-Gapu III,0709:007F:0857:0065,Ifereb Cluster,Nuzomes
0789:007D:0A5C:0079,Askand Cluster,Tokovod-Zach XIII,09D1:0082:097A:004B,Unlopesc Instability,Gisepp
078C:007C:0890:0079,Ekwald Boundary,Hevolai VI,0765:0080:0843:006C,Clookstere Band,Rigelat-Kawag
078D:007F:078F:0079,Sacryoszc,Nippusc,0771:007E:07EF:0073,Dajeranem,Nechnym XVI
078F:007C:077F:0079,Jelaru Band,Gadianage,0834:007E:088F:006D,Pekinafor,Bexhamn
078F:007F:0826:0079,Sea of Yunlayt,Rodink-Zai,085A:0082:082D:0072,Uboishiv Sector,Ipstor-Unita
0791:0080:07E2:0079,Aktsya Band,Vigatch-Ooyii,0843:007D:07BA:0074,Arm of Daoris,Orozaw-Piz XIX
0792:007D:0712:0079,Puphoch Conflux,Vorijir XVII,08E8:0081:0848:006A,Teclifre Instability,Penuusa
0793:007F:0625:0079,Noslong Spur,Takasum XVIII,0646:007C:08A0:005F,Noslong Spur,Takasum XVIII
0793:007F:0B11:0079,Hooper,Nufleen,05C8:007E:05ED:006E,Sebehi Expanse,Omoded-Ossos
0793:0081:08AB:0079,Goyneil,Zinetsk,086D:007C:0895:006E,Viltame Terminus,Fifisja-Beho
0794:007D:08C3:0079,Bembut Expanse,Urmarr-Pavo,0869:0081:074D:0069,Woilarc Boundary,Zonghou-Aukee
0797:007C:0689:0079,Bojiriyo Spur,Vuybriusi IX,0798:007C:069A:0068,Aignan Band,Sotanql-Ageor
0798:007C:069A:0079,Aignan Band,Momonkf III,074D:0082:0932:006E,Geglett Spur,Ismansk
0798:0082:0299:0079,Jogori Spur,Azazelen,0556:0082:035C:0075,Elkind Void,Ullesti-Somog
0799:0082:0A80:0079,Abnetse,Tazen-Yakod X,087A:007C:0A6D:0046,Wiyonormo,Wadanonji I
079A:007F:06AB:0079,Viretno Void,Eretettr,0822:0080:06AE:005E,Videyers Shallows,Sonojose
079C:0081:0C59:0079,Qaramb Cloud,Esakinow,03C6:0081:0726:0053,Rulter Conflux,Ammitu X
079D:0081:0E1A:0079,Myrebar,Bizentsuy XII,0BAC:0082:032F:0058,Epageni Spur,Savtrym-Lek
07A4:0082:0BC3:0079,Totegunew Cloud,Riozerz-Oli,04D3:007E:060B:002E,Acquesso Cluster,Yernari-Upit
07A5:0082:011C:0079,Viansar Adjunct,Regonas-Tani,012A:0083:07FA:0058,The Arm of Plutbig,Regonas-Tani
07A8:007C:0ED1:0079,Iweumiz,Kehara-Muda VI,040A:0080:0280:0036,Gunenil Cluster,Kehara-Muda VI
07A9:0081:0957:0079,Kewusum Terminus,Zamagawar,0894:007C:092F:0060,Kekadic Terminus,Pastveny XI
07AB:0083:0815:0079,The Arm of Irheye,Letusjo X,0814:007B:0842:0076,Beshida Mass,Ludkorrin
07AD:007D:0EE2:0079,Miquat Boundary,Sevsky II,07B4:007E:0ED5:0012,Jortal Nebula,Sevsky II
07AD:0080:0A37:0079,Izicna,Feykja-Leym,0A2B:0082:0829:0060,Puggirya,Yillva-Imki VIII
07AD:0082:075F:0079,Uglesing Band,Lipoimine,0863:0083:077E:0073,Xigudi,Abaspla XII
07AE:007C:012A:0079,Seyuji Band,Liusaly,0451:007C:024F:0066,Epchee,Liusaly
07AF:0082:03D8:0079,Baptar,Rasokuva,03F6:0082:0738:002E,Baptar,Rasokuva
07B4:007E:0ED5:0079,Jortal Nebula,Erfiella vI,05C4:007D:0E68:002C,Ohemena Nebula,Erfiella vI
07B4:007E:0ED6:0079,Sea of Niyluru,Kohmie-Essk,014A:007B:0902:0059,Yotiege Void,Kohmie-Essk
07B4:0081:050B:0079,Dahbhosey,Sajavu,0AB4:0082:06ED:003C,Rigoulyd,Koyotak VI
07B5:007C:0938:0079,Afiona,Fefiksyo,074A:007C:08F4:0073,Beacosi Shallows,Suelefa XIX
07B6:007D:0ECF:0079,Gwaange Band,Hoslovant X,0EC3:0081:07F9:001D,Tezindi Mass,Habouth-Hoseau IV
07BA:007F:0AE0:0079,Bigngel Spur,Ralatyarnya,0844:0083:0AD0:004D,Tixard Expanse,Ellsobadud III
07C1:007C:0E4E:0079,Aubala Terminus,Anmark-Enha,01DE:007D:093E:002F,Usipet Boundary,Anmark-Enha
07C2:007C:0E50:0079,Kukuru,Yosuket-Ohama,01C0:0083:0791:003B,Syapem Mass,Yosuket-Ohama
07C2:007E:03EB:0079,Redruzen Spur,Gochkal,06AE:007E:0431:0044,Wachipt Mass,Swortla-Zaifu XV
07C6:007F:064D:0079,Xenile Boundary,Oyabur-Webu V,0731:007D:096F:0059,Sea of Uepera,Monbet XII
07C6:0080:04A9:0079,Ouvarshor,Vordami IV,0B39:007F:075F:0035,Awskyl Instability,Hokuchibe
07C7:0081:0B6A:0079,Totorweish Band,Dawleyb,0629:0082:0AD0:0062,Cociore Adjunct,Rapula
07CC:007E:074A:0079,Alps Boundary,Popleybir,0890:007F:07A4:006F,Citlant Anomaly,Nedingcan
07CD:007F:0762:0079,Uiyanou Expanse,Tuvovant,0884:007B:07BE:006E,Uiyanou Expanse,Tuvovant
07D0:007A:0846:0079,Icenap Adjunct,Hakhde-Isbri,0840:0082:0813:0078,Myvitre Adjunct,Aebaya-Desli
07D1:0080:05DC:0079,Tukijio Nebula,Rartfo,08ED:007D:09DB:006F,Versfel,Aideko V
07D1:0082:0DA6:0079,Saskyan,Ceceli,0759:0082:0D8C:006D,Saskyan,Ceceli
07D2:0081:04C8:0079,Lenorsceh,Shechug-Munu,051E:0082:094B:0057,Nafionnlo Quadrant,Ouzens
07D5:007E:0838:0079,Vizcat Shallows,Borish VI,082A:007B:0820:0076,Lotdorim Mass,Atione
07D5:0082:07C9:0079,Cozykin Adjunct,Oronsratt,0827:0080:07DE:0076,Cozykin Adjunct,Oronsratt
07D7:007D:0A06:0079,Yanyanek Nebula,Tahikaw,0811:007C:0607:0059,Ahdown Shallows,Artako-Yiwul
07DB:0080:0809:0079,Mustedt Cloud,Kokhlo-Hida,0813:0082:07FE:0078,Retdamal Cluster,Erforn
07DD:0081:0828:0079,Masiaverg Mass,Annesk,07F4:007D:0822:0077,Ufandm Sector,Rorech
07DE:007E:0A8B:0079,Igsonar Quadrant,Onanqiulo,06F4:0081:0A41:0060,Umodinn Fringe,Venins-Hipi
07E0:0082:0879:0079,The Arm of Cukeans,Lastadi XIII,0858:0082:083E:0077,The Arm of Dobadac,Nadabar
07E1:0079:0E6F:0079,Jatalt Terminus,Chyolk,0E09:0082:0A12:001C,Miglans Conflux,Kushikom
07E1:0079:0E70:0079,Saxonoh Terminus,Iyamak-Lesal VII,08F9:0080:0E4E:0049,Kupodaya Instability,Satogq-Okino
07E2:0078:0E6F:0079,Ipiaei Terminus,Olkesbor,0553:007E:0236:0077,Cisabak Shallows,Sohann-Yalo
07E2:0078:0E70:0079,Rutdasy Conflux,Voyersia,0BE0:007C:02ED:002C,Yaweanga Cluster,Rypolet
07E2:0079:0E6E:0079,Ruangkom Sector,Vushnym-Atko,0258:007C:0509:001A,Nenkobo Void,Piyrgolist
07E2:0079:0E70:0079,Rygiad Expanse,Rasiush-Quu,05D7:007D:0DFF:0073,Viushi Shallows,Yupolev 
07E2:0079:0E71:0079,Zegiac Quadrant,Zoluynkar,01AB:007B:08E2:0028,Cenalpish,Hudovo-Mamac XVIII
07E2:0079:0E72:0079,Gooheitn Terminus,Hashik,0443:0081:02D0:0055,Mebwenc Adjunct,Gonaking
07E2:0079:0E76:0079,Sea of Iugosla,Iolare VII,047D:0080:0D5D:0018,Hiumfiel Sector,Naksarac
07E2:0079:0E77:0079,Ligessio Terminus,Tazaralci,01D4:007C:0640:0045,Wemerferi,Dogalini
07E2:007D:0C2C:0079,The Arm of Jukstas,Rumenus-Ruanx,088D:007D:0C12:006A,Kabruyni Boundary,Rotvin
07E3:0019:0E6C:0079,Lukerso,Rueyans XVIII,02A9:007D:0B7D:0044,Riggev Void,Datering
07E3:0078:0E6D:0079,Katisin,Dihuij-Nocel IX,0341:0082:0C40:0048,Ognewh Void,Nabella-Riss
07E3:0078:0E6E:0079,Xekaram Instability,Kulahom XI,0206:007F:05C9:0075,Numanpe,Sabara-Mustu I
07E3:0078:0E6F:0079,Olzeri Nebula,Eltsovk-Suyam II,0458:0082:0D3B:002A,Ezovey Terminus,Nelingom
07E3:0078:0E70:0079,Dihinu Terminus,Kitsukub II,01AA:007F:0734:0056,Iffitta,Senien XVII
07E3:0078:0E71:0079,Owperge Instability,Resument,05BF:007D:0203:000B,Ketcha,Eigwos-Aku
07E3:0079:0E6E:0079,Aifex Nebula,Fujian-Hals,0E5D:0081:084A:0044,Dosakt Fringe,Sokchow-Itsy
07E3:0079:0E6F:0079,Nikenagir Adjunct,Yorgosperr ,09E3:007B:01E9:0071,Hutanit Mass,Eiyosh XIII
07E3:0079:0E70:0079,Omyana Shallows,Guchyovsk,0E47:0081:06D5:0026,Aiwelc Spur,Hepzinq
07E3:0079:0E71:0079,Sea of Zevalde,Mimasa,0BF4:007F:0D02:0052,Sea of Epanss,Aruppk
07E3:0079:0E72:0079,Iknanang Void,Skurey,0566:007D:0DD8:0007,Okyambiv Spur,Bobbie
07E3:0079:0E73:0079,The Arm of Lujidarb,Aojiay-Aspiy ,019D:0082:086D:0034,Acvich Cluster,Osekina
07E3:0079:0E74:0079,Gudracham,Haminiu-Ado,04A5:0080:028D:0061,Niaiush Anomaly,Logjeng-Hodk
07E3:0079:0E75:0079,Oheiro Cloud,Ogaarif-Haku,0B43:007E:027B:0016,Otzins,Budonty VI
07E3:0079:0E76:0079,Amasaka Anomaly,Urdosu,0E65:007C:0851:0042,Leuccela Band,Yookay-Olch
07E3:0079:0E77:0079,The Arm of Zakeeve,Icindh,099A:0080:0E32:006F,Nikobin Terminus,Unqingk XI
07E3:007A:0E6E:0079,Adekaladg Conflux,Udutadl-Mopush System,0562:007C:0DD1:0013,Jigusovii Spur,Yesvadb-Aoka System
07E3:007A:0E6F:0079,Baquiate,Nonsar System,0CF8:007E:0BFE:0040,Yobarasa Expanse,Omisen-Redev XII System
07E4:0000:0E6E:0079,Ouzark Cloud,Xafilitss,0590:007B:0213:0009,Eoskele Mass,Jiokin-Cor III
07E4:0006:0E6D:0079,Haritak Instability,Ludursupri III,01D8:007F:0642:0011,Apgarow Void,Weymontg
07E4:0007:0E6D:0079,Ocshodaab Conflux,Nakawac-Nuk,0236:007F:0AB3:0058,Bouchiw Quadrant,Osslem
07E4:0008:0E6D:0079,Ombarr,Ermolo-Oist XII,079B:0081:019E:0027,Biansvar Cloud,Ulunit XIX
07E4:000D:0E6D:0079,Zuchea Spur,Verevd,0684:007C:01C7:0024,Amzeldm Band,Uheimt-Ogge
07E4:000E:0E6C:0079,Aayamb Fringe,Revkar-Maba I,02BE:007E:045E:002F,Menskylin Mass,Elincan-Riho
07E4:000F:0E6C:0079,Pustondra,Saoton-Fusto,01A8:007D:08AE:0076,Ruilman,"Opje'aphli"
07E4:0013:0E6C:0079,Sea of Gororb,Redatov-Osc,0E61:007E:082D:002B,Rilawite Void,Kobasi-Udoi
07E4:0014:0E6C:0079,Jicand Shallows,Guhdako-Sylai,057D:0081:0DDB:0073,Ihewisora Boundary,Gilama-Pian I
07E4:0015:0E6C:0079,Oftenm Mass,Bajaing,089B:0082:01A5:0042,Uujjar Sector,Amdalumbh
07E4:0016:0E6C:0079,Nehelk Expanse,Runsrat XV,0DAF:007D:0AE7:0011,Naxisr,Pihnompton
07E4:0017:0E6B:0079,Pikinnebid,Olvyuchnos,098A:007E:01CE:002C,Lulorcun Terminus,Dihondurus III
07E4:0017:0E6C:0079,Uidowic,Toonaldui,0E31:007C:067A:0058,Pudetek Cluster,Kilustu
07E4:0018:0E6C:0079,Ichoxtov Cloud,Movsky,0722:007F:0E52:0028,Norsil Anomaly,Ogiumf-Latat
07E4:0019:0E6C:0079,The Arm of Yimofee,Gateinj-Mur XII,06E7:0081:01B7:006F,Luswigus Conflux,Uryins
07E4:001A:0E6C:0079,Icroan Anomaly,Xabyai XVIII,0E3F:007C:0949:003E,Tooreo,Roishi
07E4:001A:0E6D:0079,Aipherlo Terminus,Ilreid,0681:0080:01C8:0011,Iuxianume Mass,Udgumi-Nekho
07E4:001B:0E6C:0079,Dajoji Anomaly,Rukkafj-Yarumr IV,01A5:007D:08AA:000D,The Arm of Laswitt,Higazhig
07E4:001B:0E6D:0079,Sea of Rashtoric,Damago V,0B4C:0082:0D75:0058,The Arm of Oopert,Delinsf
07E4:001C:0E6D:0079,Icomppa,Tamiluk-Pandr X,01B3:007D:0910:0027,Sea of Usringni,Egyibi-Sesiys
07E4:001D:0E6D:0079,Zovimb Terminus,Nikridling,0DAA:007E:0513:006F,Esuvill Sector,Nonsanna IV
07E4:0038:0E6C:0079,Yutonaiw Quadrant,Urgaser,05D0:007C:0202:0046,Ofgrea Sector,Ooyiij
07E4:0039:0E6C:0079,Pipswoiwn Quadrant,Paysuyva,0BE5:007D:0D0B:0015,Jaadega Spur,Tashibus
07E4:003A:0E6C:0079,Mumboj Cloud,Ikkolh II,01E1:0080:09C4:005C,Awsonl Expanse,Hadyseh XVI
07E4:003A:0E6D:0079,Ubulym Void,Oarege,0392:007E:0366:0011,Hekyamp Conflux,Bataha-Ulga
07E4:003C:0E6C:0079,Lahonko Instability,Rovinck,0959:007D:0E38:0073,Ejbl Spur,Igyitan-Uls
07E4:003D:0E6D:0079,Boyggodr,Tineia IX,0B67:007C:029D:006F,Otigudi,Narashim
07E4:003F:0E6C:0079,Kukurtse Band,Dueyuan,040D:0082:0D01:003A,Waburnou Spur,Ungaldse
07E4:0040:0E6D:0079,Drosso Quadrant,Olunbu,0D53:007E:0B7F:0045,Muonjan Terminus,Iokawa-Lano
07E4:0041:0E6C:0079,Sea of Kaitse,Nozaifu XVIII,0CB9:007E:0C45:0051,Citurea Quadrant,Aksikjalt
07E4:0042:0E6C:0079,Ewguojiri,Hakhna-Tunar,0248:0081:0AD3:0020,Sea of Thkenhams,Ilukoye IV
07E4:0045:0E6D:0079,Myxunyso,Hifang-Lede,0DD8:0080:0A88:0042,Ruxvesu Fringe,Retoni-Sapp X
07E4:0046:0E6D:0079,Aznyan Cloud,Yottom VI,037D:007B:0C83:0011,Gaduate Boundary,Nanjos-Taji X
07E4:0048:0E6D:0079,Canito Shallows,Segdani-Ukh III,0240:007D:053B:0027,Ufannaysa Fringe,Ahiris-Reto
07E4:0049:0E6D:0079,Afkara Boundary,Minsto,0E4D:007F:08E3:006F,Xapiyatipo Band,Kushyas-Bama V
07E4:004B:0E6D:0079,Aavell Sector,Yukktokitt,0951:007B:01C1:000D,Uavesyego Adjunct,Nudeter VIII
07E4:004C:0E6D:0079,Eierad,Nomiha I,0D4F:007E:0B83:0054,Ewulghu,Ailstown
07E4:004D:0E6B:0079,Afyuddi Void,Shlomna-Uso XVII,05B0:007D:020F:0024,Ihilla Band,Okayabe-Uji
07E4:004E:0E6C:0079,Faximi Void,Evinsky-Kun,0246:0081:0ACE:002F,Soolfne Void,Oottok
07E4:004F:0E6C:0079,Onyuan Void,Gwentu-Obo XIV,0581:0080:0DDA:0076,Niykhol Cloud,Nacungr-Azawa IV
07E4:0050:0E6C:0079,Vaalis Anomaly,Yiduhshie,0375:007B:0387:0046,Kutracc Expanse,Sionstaj XIII
07E4:0051:0E6B:0079,Pidida Cloud,Kuzent-Azza XIX,0D30:007F:0452:0060,Oskyala Quadrant,Hasoila-Fasto
07E4:0053:0E6C:0079,Putrekla Boundary,Esvetskyv,0B43:0081:0286:002B,Oxuiab Cloud,Zadogor
07E4:0078:0E6D:0079,Oltizma,Pisburtur,05F7:007D:01F7:0072,Ruktome,Nacinne-Uepin XV
07E4:0078:0E6E:0079,Oncerr,Zodesnoyab XVI,0C66:007B:0362:0027,Ukovskyla Spur,Kubaraz
07E4:0078:0E6F:0079,The Arm of Uetesu,Makiry,024A:007F:0AD7:0054,Xihewie Sector,Efargon
07E4:0078:0E70:0079,Lowaluma,Satako-Arp,02CF:007D:0443:0009,Liyanya Nebula,Suwana
07E4:0079:0E6E:0079,Puwyollauc Terminus,Rytosc-Kasetn System,0535:007D:0DB9:006E,Ueblefsc Mass,Eyning-Cro System
07E4:0079:0E6F:0079,Honumedis,Idovosk System,0C93:0081:038D:0023,Konysot Anomaly,Imiovi XV System
07E4:0079:0E70:0079,Diceethe Quadrant,Nichiu,0E10:007E:09F9:0050,Ogtianse Cloud,Ribaeker X
