bh-coords,bh-region,bh-system,ex-coords,ex-region,ex-system
04B5:007F:0749:0079,Sakylie Void,Onkern-Nenin,04DE:007E:090E:0068,Rigeram Cluster,Tusdalu
04B7:007C:016D:0079,Gayboye Instability,Kurayor,01AD:007F:0461:004D,The Arm of Olbene,Nicorna-Cocho
04B7:007C:0D7F:0079,Yearlsel Boundary,Rumavitsy,0347:007D:03BF:0019,Vogaim Shallows,Ibansv
04B7:007D:09B8:0079,Foniuk,Iowared-Epet,058D:0080:0AB1:0070,Wontondumla Mass,Rozawaji
04B7:0081:02DA:0079,Hirigh Boundary,Ovetlo XV,07D1:007E:0E0A:0028,Ezcate Cluster,Esosol
04B8:007B:0AC3:0079,Mupkeanae Terminus,Akunis-Yem V,0AED:0083:0B0B:0057,Komestla,Ramise-Yarn
04B8:007C:08ED:0079,Zicaidak,Nagkokama,0612:007E:0544:006F,Panisi Expanse,Ryinsa XVI
04B8:007C:0DD6:0079,Voitbi Cluster,Oekrett,09DD:007E:019E:0004,Demowoll Conflux,Iyagon-Mez
04B8:007F:02D6:0079,Kafferon Conflux,Hezhih-Etai,0DA0:0080:05C5:003B,Kahanga Fringe,Notungr
04B9:0080:02EE:0079,Geerasi Expanse,Ukrasi System // G3p //Water,0362:007C:0BCB:0030,Hemanian Void,Tidrane-Manin System //G2// Water
04B9:0081:0D1D:0079,Newhee,Essbeh-Ikk,07F5:0081:0E04:0017,Lagent Anomaly,Rubeatel
04BA:007C:0C3E:0079,Skossb Terminus,Okaifen,0339:007E:0A4D:0039,Doqueo Quadrant,Ikrogr-Ozdus V
04BA:0081:0A66:0079,Uzanit Void,Udaymkar,085D:007D:0BFA:004F,Odwichi Quadrant,Algobu
04BB:0079:0BBB:0079,Ruzacaw Band,Thernog-Joh,0317:007C:080E:0014,Nedjer Spur,Yemkarp
04BB:007D:0322:0079,Kehperst Band,Musaki,07C8:007F:0234:0059,Uckeric Shallows,Musaki
04BB:007E:07AB:0079,Hahgwe Adjunct,Uruoka-Yakh,0724:007C:0B1A:004A,Jeffrico Void,Hepshaky XVIII
04BB:007E:0DD0:0079,Itxsantu,Sasueltako,0CFF:007C:03A9:0007,Oxonord,Saseeve-Kuomu XIV
04BB:0083:080B:0079,Vemavi Void,Erdosso-Ionit,071A:0082:04EC:005D,Enwayur Cluster,Omyarm
04BC:006F:0BCC:0079,"Aofee'oor Shallows",Itakentr,0746:0080:031B:006D,Nomicin Cluster,Sumzome-Kisa
04BC:007E:0632:0079,Chanic Mass,Ezensk-Rafi,0728:0082:0B90:004C,Oabydos,Utskop-Chid XII
04BC:007F:0A5E:0079,Clusugie Sector,Shkenh-Aip XIV,0A8D:007D:04F6:0063,Temadz,Laeriare
04BC:0081:0BA0:0079,Slogic Fringe,Ganeung,0BD9:0081:0AE5:0035,Dihbh Band,Zaozaybk
04BD:0082:07B4:0079,Eaexangeb Terminus,Okings-Ewca XVII,0B15:007E:08DE:0061,Iazzie Fringe,Kosnog
04BD:0083:0203:0079,Euhamr Cloud,Qunanxi-Oria System // G5pf,021A:007D:04B2:003D,Naziylsru Sector,Tofilma-Huwawu System // F4p // Water
04BE:007C:036B:0079,Orla Yankaalaau,Goniang Errante Sqn,02A1:0081:068D:0035,Reltone,Tamuysk
04BE:007C:0AFA:0079,Waukess Cluster,Oleyddi-Stpu,0B4C:007E:052B:0075,Reinso,Noozyorsk
04BE:007E:06C5:0079,Tasdamn,Pextann-Kuch System ,051D:007D:09D2:0065,Sibacoc,Zugashi-Bull XIII System 
04BF:007B:0CFD:0079,Nunabi Instability,Hyastre-Jean,040B:0080:03A0:006E,Laodac Band,Taktsa
04BF:007D:09FF:0079,Mippataxon,Stosti,0A44:007E:0AFD:0049,Opwitc,Umaixo-Rozaw
04BF:007F:0275:0079,Abtreep Fringe,Saitosu,0204:007D:05D3:004D,Chilanz Quadrant,Alugan-Iky XVI
04BF:0080:0BEF:0079,Nussanebor Fringe,Yinsatv-Yak,0840:007C:0D0A:001F,Dazhanc,Wimberg
04C0:007F:0211:0079,Lerisato Quadrant,Suvendi,014C:007C:07B1:0015,Cuskay Sector,Ofrumgi-Doyg XVI
04C0:0081:0D94:0079,Poweld Cloud,Igntos-Mobi,07F0:0080:019B:0072,Iopeti Anomaly,Nesakyvi
04C1:007E:0626:0079,Raimle Quadrant,Aguaht-Bihir,0991:0083:0B51:0044,Tupatse Spur,Izabde-Sunc
04C1:007E:0B71:0079,Jekoup,Iobara-Eum,036C:0080:070D:004E,Jibatal,Plechn-Kawag
04C1:007E:0BC1:0079,Gadiser,Ignanxi-Uote,039C:0080:0A31:003C,Cotersenon Instability,Imechno XVIII
04C2:007D:0C10:0079,Jimboli Sector,Ninohe-Anmu VII,0BDA:007E:0B63:0058,Eseyerry,Uotelever IX
04C2:007E:046F:0079,Isgayolea,Sprimu,033D:007D:0811:0035,Uleiado Nebula,Qihari
04C2:0082:0AB5:0079,Sea of Oxtovian,Loymforfi,03D9:0080:07A0:0035,Eiousm Cloud,Vigberg
04C3:007F:0408:0079,Rizmiaoh Adjunct,Eduarth,054A:0081:0C43:0063,Sucelotop Band,Unicutumu
04C3:0083:09CC:0079,Libalom Sector,Cikenho,0B98:0082:0885:0070,The Arm of Einsuzu,Opiola-Lak XVII
04C4:0082:0838:0079,Sea of Yonyin,Ziboson-Sar IV,05CE:007B:0A4D:0036,The Arm of Demediq,Laxines V
04C6:007A:0D4C:0079,Hidower Cluster,Legkor,053A:0080:0282:0025,Jading,Pojarje-Shu
04C6:007E:0783:0079,Askare,Waxunfu,06CA:007C:0509:0045,Uatiwa Adjunct,Holeksutli XVIII
04C6:007F:033E:0079,Mehued Quadrant,Oryokins,0DAF:007E:07F4:001E,Suyaro Expanse,Vestven
04C7:007B:0B47:0079,Iplazk Anomaly,Syegor,0BF2:007D:0A3D:0023,Iwunov Quadrant,Hekalapay
04C7:007C:0331:0079,Nevana Boundary,Libiusam XIII,0505:007F:031D:0075,Aborots Fringe,Lanarger XII
04C7:007C:0C8C:0079,Acennat Void,Fusins IX,0A42:0081:0D08:0015,Gomaanj Anomaly,Ubbockbu
04C7:0082:0072:0079,Osztoc Cloud,Uokawa,0974:007C:0FFE:0054,Gesongoll Band,Ectiusal
04C7:0094:0A33:0079,Oicoug Cloud,Nogulah-Suoh,042E:007E:0798:006B,Emcabar Instability,Satteg
04C8:007C:047E:0079,Yildeor,Meiyeo XI,0A6C:007F:0C04:0048,Fadamahu,Adsido-Mee VIII
04C8:007D:01DE:0079,Biwaeli Nebula,Nucungpus,0E44:007E:0534:0032,The Arm of Uzcomodg,Rymiskyv XIX
04C8:0080:0D8D:0079,Fabezo Anomaly,Irunokay XIV,03C4:0080:0340:0053,Raxelawoy Spur,Fuschiax
04C9:007E:07EC:0079,Taxonol Band,Yissapar,0518:007B:06C7:0063,Fozarebes Conflux,Indoins-Onoss XVII
04C9:007E:0C8A:0079,Aeperi,Olskyvium,0C41:007E:0480:0029,Claika Spur,Grefer-Vosh
04C9:0081:0741:0079,Zemeter Mass,Poytak XII,07D1:007E:04C4:003D,Bietisig Expanse,Neyogze XII
04C9:0081:0946:0079,Iuzongkam Terminus,Nagildnin,0888:007F:04A4:0039,Gahnarywe Shallows,Ningdakja XV
04CA:0081:04FB:0079,Lomoribe,Nunonquo,0411:007E:09D8:0043,Maurat Cloud,Degnorumsk
04CB:0082:08B6:0079,Nekatasho Anomaly,Isomak,0A7F:0080:0A07:0053,Keleyan Anomaly,Nusforca
04CB:0082:0AF1:0079,Yulkan Expanse,Esladdu System ,0C22:0082:0923:003E,Nuyukova,Bogkam-Urum System 
04CB:0082:0C03:0079,Edwarjim Band,Taakita System,096B:007C:0338:0050,Celedegua Nebula,Sattongu System
04CC:007C:0ACC:0079,Rohmitc Expanse,Ezawarao,0B38:0081:0551:005B,Aturmo,Ogmaiyu XII
04CC:0080:0535:0079,Iitoal,Ompaini-Juba XVI,03DE:007E:08AB:0043,Pidainne Conflux,Uhlaum-Tii IV
04CC:0082:08D0:0079,Nazoryc Mass,Coygnus,0507:0082:06B7:0078,Bovetro Fringe,Useterta
04CD:007D:06DD:0079,Finissy Nebula,Geuphres V,0AF2:0081:0672:003C,Sea of Iciana,Reythamp
04CD:007E:01DF:0079,Encatlas Sector,Yadoptin XVIII,0CAC:007B:02FC:0013,Eucapr,Reymskyv
04CE:007F:0769:0079,Luitlh Band,Ozawara,04F0:007D:071D:004E,Lupkato,Suyama-Yov
04CE:0080:0B2D:0079,Kajach Nebula,Urminst-She XVI,059F:007C:043F:006D,Genotbur,Kaeydi-Chwoo
04CF:007F:0AD2:0079,Iayagii,Armiin,0A8F:0083:0B54:0027,Ekhmarx Cloud,Puskamy-Unj
04CF:0081:05A9:0079,The Arm of Ugduni,Eislugu,088B:0082:0424:002C,Mobiban Shallows,Bifrosvi
04D0:007C:0A5C:0079,Flotomi Terminus,Sysergi,0744:007D:0BD6:002C,Hasuanq Instability,Sarate XVII
04D0:0083:046A:0079,Edaringan Mass,Etagashi,06D0:0081:036A:004A,Luysell Conflux,Hakenagr
04D1:007C:0A2C:0079,The Arm of Chviliu,Lafael-Pac,06F0:007F:0BA2:0061,Iyenenysa Cluster,Cazeld
04D1:007E:06EB:0079,Ulgand Anomaly,Hayabere XIV,09E5:0081:054E:0059,The Arm of Aornwasi,Ovitsa
04D1:007F:0214:0079,Kuyerice Anomaly,Wadena-Pohill,0A22:007C:01B1:0051,Mocossi,Agawac-Pare
04D1:0081:02B5:0079,Aetiiq Void,Abulle XII,0C1D:0083:0C86:000A,Awchujas Boundary,Netsia-Yihte XVIII
04D1:0081:0BCA:0079,Hancie Shallows,Yawarasoe,0CDE:007B:0796:005F,Osibyteo,Kazourn-Teb
04D2:007C:08C3:0079,Udneri,Madala-Eswo XVIII,099C:007F:053B:005F,Sea of Kekurmod,Idlinez-Catio
04D3:007C:03A9:0079,Tazwethe,Arbarr,0925:0083:02D1:0078,Uapelan,Tantyer-Widz
04D4:007E:0802:0079,Femandr,Drovgra,0A44:0083:05E0:0051,Hetima Adjunct,Hegateosa
04D4:0082:041E:0079,Otchero Shallows,Xichian,05D8:007C:0C73:0047,The Arm of Zoelrui,Oprudn-Noky
04D6:007F:07F8:0079,Ruppin Boundary,Gatota-Chel,067A:0081:0AB3:0056,Aymofe Mass,Nomouthcar
04D8:007C:07FB:0079,Ziynsaba,Atogge,0A9F:0082:09A2:003E,Vodysa Mass,Ankorri-Ops XIV
04D8:007C:0C42:0079,Rezelep Instability,Bedungt-Home,02C2:0082:07C8:0044,Kowusumz Fringe,Eyiijin-Beu
04D8:007D:0C20:0079,Noyanne,Dekour System,04CB:0082:0C03:003A,Edwajim Band,Nakani-Iosca System
04D8:0081:0B1D:0079,Juardo Spur,Inisor,0B09:0081:0B25:0033,Oktiston,Sendab X
04D9:0081:0C70:0079,Hoditak,Metyugach,0943:007F:02C2:0026,Ifexuxing Mass,Iddellal
04D9:0082:026F:0079,Jiganopf Spur,Gifusorne XII,0B90:0081:02C4:004D,Hobians Fringe,Repastre
04DA:007D:0C96:0079,Kefeldma,Rovoann-Ahaya,02FE:007D:0A4E:001B,Kavendo,Dratfi-Kuhu
04DA:0082:021C:0079,Riusask Adjunct,Iwanuki,0554:0080:0E0C:004D,Lilvetti,Cainpu-Litwh I
04DB:0080:067C:0079,Quveamu Cluster,Kiyotak-Nojo XIX,093F:007F:0B2F:005C,Sea of Shtaraik,Rotomiyo X
04DB:0080:0AC4:0079,Kovoroc Fringe,Deganegsv,0BE8:0083:06AD:0042,Dehogae Void,Oneraf
04DB:0081:0314:0079,Zatajita Boundary,Ascanagr,0287:0082:0628:0072,Mucbridini,Ogqenz-Avna
04DC:007F:023C:0079,Yaxack Boundary,Ihweyf XIV,0E7B:0080:0876:003B,Lohalie Anomaly,Rapanya-Sevadb
04DC:0080:0478:0079,Snianikey,Rulsesn-Igus I,03F5:007E:0A53:0031,Ronkha,Pocopeiad
04DD:006B:031C:0079,Duaril Anomaly,Nuburniang,0CE6:007E:0502:0062,Noitein Cluster,Nurtiann
04DD:007C:0AE1:0079,Operap Cloud,Izhuozh-Mokar,0792:007F:0C2C:0048,Domikosha Terminus,Ueqing
04DD:007D:0606:0079,Retwurmbun Void,Eorgate-Tway,079B:0081:0B9D:006E,Sea of Athatt,Ashigi-Mihar
04DD:007F:070D:0079,Odambh,Lusavi XI,0581:0080:0A06:0038,Jovicil Adjunct,Resoystem
04DD:0080:0499:0079,The Arm of Alnamn,Iforcess XVI,08F4:0080:038A:0066,Yinsatc,Voypolno
04DD:0081:06A9:0079,Ippelh,Nobaich,0A03:007E:0553:003C,Nuleic Adjunct,Boigrafta
04DE:007B:0345:0079,Orkano,Sogdiac-Didi,032C:007C:0AD9:0074,Yivasyapo Cloud,Ayasen-Rym II
04DE:007E:090D:0079,Pipewyano,Isairtz-Apre,04CE:007F:076A:003C,Ivakiyo Conflux,Atfilmasta
04DE:007E:0981:0079,Moisop Shallows,Kanish,094E:0080:0B25:005F,Bipeddoni Shallows,Jilongk-Sor
04DF:007B:08CA:0079,Wagine,Vavaria,0580:007D:09F0:005A,Fluepe,Ustina
04DF:007D:0D7A:0079,Nabaraw Sector,Geymusl-Nov,08B3:0081:01C7:000A,Vuriedq Nebula,Suvorzy-Rokuna
04E0:007C:0A4A:0079,The Arm of Xucheresho,Abulak VIII,0B7F:007C:0982:004F,Damultha Cluster,Ibolshil
04E1:007F:0443:0079,Huberu Conflux,Ifrithy-Alda,04F0:0080:0BB3:0062,Obliswh Sector,Beokaz
04E1:0081:05F5:0079,Ampzin,Kihgora-Hyokm XI,0459:0081:07A5:0047,Xiwellma Terminus,Iudachy IX
04E1:0081:07FD:0079,Novarl,Sluzhby-Gejor XV,0AE0:007E:06F9:004E,Oongilm,Uyamegur
04E2:006F:0C22:0079,Aycusi Instability,Xifengda I,040C:007C:04BD:0034,Alzberhe,Umiokaz-Torov
04E2:007E:048E:0079,Retmarxv Expanse,Swickhil XIV,036C:007C:07EC:0074,Ayorai Fringe,Ozhenan-Zuna XIX
04E2:007F:021D:0079,Drzesi Void,Latasek-Wiborn,01E9:007F:0570:0014,Lilmarxv Instability,Tadalr-Okams
04E2:0082:0785:0079,Boybolk Terminus,Shangy-Seyci,07F9:007D:0B16:0038,Sea of Cayanekal,Agestn
04E3:0081:0DC7:0079,Butetiig,Barias System,0B54:0082:0D94:0058,Eppapa Sector,Ivvara-Nayag XI System
04E3:008C:0A9F:0079,The Arm of Uepeckl,Ottori-Nogoto XII,0802:007D:03FD:0056,Suzumair,Onyail
04E5:006D:05CB:0079,Tozspuran Spur,Teutra,0B62:007D:099A:0036,Druwema Cloud,Hoelici-Risa XVII
04E5:007B:0D6F:0079,Hiwi Boundary,Odmins,0DB6:007E:0A63:006B,Ixcatug,Airaie XVIII
04E5:0081:0610:0079,Rejulae,Dutalogi,083B:0082:0B96:0036,Kehpmagova Band,Himase-Sat
04E6:0071:04D3:0079,Sea of Kausta,Voditsu,0400:007C:09C7:0030,Ezdarasi Sector,Umskyvi-Edi
04E6:0079:01D4:0079,Teakis Cluster,Blackhole?,0D71:0081:03DC:006E,Unknown,Blackhole? Exit
04E7:007F:0D99:0079,Loxtonde Spur,Fashvam VI,0C0C:0081:0CE3:0003,Gihasp,Gajanql-Yulana XVIII
04E7:007F:0D9E:0079,Ajdevlce Shallows,Jamdon XII,071C:007F:0E4B:003E,Hildrav,Rochyo
04E7:0080:0588:0079,Lizman Terminus,Yoduhshi II,0582:007B:0AFF:0036,Hutiiq Cloud,Atogqe
04E7:0081:0B17:0079,Azeragii Anomaly,Humikhv-Onno,03B1:0081:0853:002E,Yaptisa Conflux,Livikni
04E8:007B:038F:0079,Zuhigelu,Savirkk-Rimaa,030A:007D:05F8:000E,Hiuccel,Uzawase-Uch
04E8:007B:0BC1:0079,Tryuthi Expanse,Eangom VIII,0736:0081:0341:003A,Kooibeso,Asahyhyt
04E8:007E:04B6:0079,The Arm of Oollob,Imtane,0B6E:0081:0AD5:002C,Harapp Cloud,Rexinyou
04E8:0082:0C25:0079,Xavarpe,Welwaynd,02EF:007B:0750:0066,Udhenu Conflux,Zaozyo-Iso
04E8:0082:0D84:0079,Ixchem Expanse,Itsuet-Higory,01CF:0080:0705:0056,Cedawso Spur,Urbatou-Naden
04E9:007F:0B61:0079,Liques,Ioganon XIV,06E8:0080:0C61:005B,Zefoftz Conflux,Mugangy-Getian
04E9:0081:0B2B:0079,Yosanau Terminus,Viisis-Arfor,0BD3:007C:0A19:0031,Ergetusi Band,Rubche-Josol
04E9:0082:0538:0079,Inohan Cluster,Ogourd,0703:007E:0406:003D,Pakosku Shallows,Aneici-Imsk
04EA:007C:0A1A:0079,Iflhen Shallows,Withion,07F1:007B:0BAA:006F,Joenta Band,Olongroel
04EA:007D:0DBA:0079,Mucmile Cloud,Eciusa-Dagar,046D:0081:0D5C:0066,Odindwar Cloud,Utsushi-Inn XV
04EA:0081:0E4A:0079,Ixenadh Cluster,Ugourdi,02FE:007C:0CD1:0038,The Arm of Irardoly,Tumenz-Ooaft
04EA:0083:0D95:0079,Letzmann Anomaly,Qongqi IX,02E0:007D:0BB4:0038,Boyagim,Kupers XIV
04EB:0070:09C9:0079,Emcauca Spur,Eidius X,0A5A:0081:0A94:006F,Tiyukiss Spur,Fuzhou
04EB:007F:0D69:0079,Ovyovs,Nehaejud V,01FB:007E:095D:003F,Uggamar Anomaly,Apatiia II
04EB:0080:0A1A:0079,Ofalyon Nebula,Keidensi,0AC0:0080:0591:003D,Eilenkoni,Grendz XV
04EB:0082:0D7F:0079,Opovev Boundary,Yadrin,01F9:007C:09A8:0023,Laneric Expanse,Balapa X
04EC:0080:01EC:0079,Yociahaes Instability,Sudoniu XII,0A29:007D:0E62:006B,Wekesmu Void,Nagiump XIII
04ED:0082:08A2:0079,The Arm of Wadjin,In7,0765:007D:04FC:0059,Joiente Cloud,Out7
04EE:007B:062C:0079,Likyrite,Aimeie XIV,0A4C:0083:055B:006C,Lezunon Boundary,Riglas-Rud
04EE:007B:0CF8:0079,Otcahse Shallows,Iogawa,0D84:0080:09B7:004F,Deyeri Anomaly,Chelgast IV
04EE:0080:0390:0079,Esdaim Nebula,Joliso,02F1:0080:0652:0064,Veenad Band,Nazaifug XV
04EE:0082:043D:0079,Tamaris Nebula,Togutay,0430:007D:0AE9:001B,The Arm of Mesopwi,Nidlundg
04EF:007C:035A:0079,Rotnyin Cluster,Jechum-Agl XIII,09B5:007F:0D3B:0032,Ransagi Void,Sivilyu
04EF:007D:0838:0079,Xatergh,Ibxi,0668:0080:0571:005C,Layavskil,Akulaat-Osang
04EF:0080:01FD:0079,The Arm of Dazhkovl,Umdont-Iband,098C:007C:0E80:0032,Sea of Nocanaga,Iauehi-Yulais
04EF:0082:0609:0079,Uuguning,Unkyoto-Futt,05EC:007C:0AE8:005A,Zolitj Quadrant,Sylavin-Atto
04F0:007B:072F:0079,Edpardm Band,Litvall-Aius,071E:0080:0AF9:004A,Jotunha Expanse,Ovdorod
04F0:007C:0809:0079,Sea of Uksano,Uozulu-Elu XIll,06E9:007C:0533:004B,Yarmanda Quadrant,Hiyazu-Uen
04F0:007D:04E2:0079,The Arm of Ultauer,Arutosetl,0A4F:0082:045E:004F,Tasettin Fringe,Kabira
04F0:007D:071C:0079,Pirydingco Spur,Kopyevka,0608:0081:0592:0058,Loyxenaha Nebula,Lulederbe
04F0:007F:0BF5:0079,Rammat Cluster,Cinidusi,0315:0082:087D:0074,Iacape Nebula,Balung-Sot
04F1:0080:0BB2:0079,Kedole Cluster,Korqenr,05E1:007F:03C2:0041,Rontoan,Edrafur XIV
04F1:0080:0C28:0079,Fielota,Naformono,0532:007F:03BA:0027,Noshilf Adjunct,Fustors-Sht
04F3:007C:01F3:0079,Dovarak Anomaly,Ioricena IX,0275:0080:0436:0066,Lotysoo,Nosaip
04F3:007C:072F:0079,Sea of Afdiet,Rutonya,08B8:007D:0B00:006F,Cugnol,Eyoisema
04F3:007F:07FA:0079,Ipeken Sector,Yexisrod,0AF9:007B:07D2:0073,Ehniam,Izentan-Uss I
04F3:0082:0794:0079,Gefjeldr Fringe,Elmanesto,0AB3:0081:06AC:0072,Nocisma Terminus,Zonqua
04F4:0082:02FA:0079,Cicaffo,Yonuude XIX,052E:007B:0D15:0034,Edvarpul,Dapjonsv
04F4:0082:0DE3:0079,Darryamun,GRM2019.104-Giselt,0690:0081:0E6A:0022,Ryijing,GRM2019.105-Uaying
04F5:007C:0239:0079,Gocrv Cloud,Yotsug IV,0D50:007B:0BAC:0052,Yawali Shallows,Ogatahi-Yub
04F5:007F:066C:0079,Aghosag,Uziamenta,0B58:007D:084C:0059,Wenapp Shallows,Epastv-Giyemo
04F7:0082:0571:0079,Roxiaofeyn Spur,Piosca XIX,044C:007D:093D:0066,Lebicerk Instability,Adzhit
04F8:007E:0E02:0079,Cutton Mass,Ritasynoy X,0926:007E:016C:0020,Dobogi Shallows,Sretar IX
04F8:0080:0BFE:0079,Ebandmar Quadrant,Nomeni-Isb,0AE9:007E:03FF:0069,Xotabil Adjunct,Eicheo
04F9:007D:01D0:0079,Keeran Anomaly,Riasan,0A61:007D:019A:003D,Ruckhaky Nebula,Rumuyndunar
04F9:007F:0A00:0079,Debehen,Abkaut,0AA6:0083:059C:0042,Damonyak,Zuanqi XIX
04FA:007F:0205:0079,Tohias cluster,Madach,08EE:007F:0E91:0053,Owford Shallows,Lihuine System
04FA:007F:0716:0079,Toskvo Fringe,Ictonob,07DD:0080:04E9:0065,Kaffon Terminus,Reunaad
04FA:0081:0A04:0079,Atmankele,Iirretsk V,05C4:0081:0534:0036,Boscihnu Cloud,Layevo-Vuyy IX
04FB:006F:027F:0079,Sidelb,Eferasjo,02D5:0082:0487:0018,Iforem,Fryazo XIll
04FB:007C:02D8:0079,Katancyol Band,Mekvabase VIII,0830:007F:0215:0011,Fleiphu Sector,Unankoka XIV
04FB:007E:05BD:0079,Noanga Boundary,Sedontb XI,048A:007D:06AB:0069,Herwie Conflux,Frekvi-Ubar VIII
04FB:007E:05CF:0079,Miliabaye Cloud,Ominzadg,080B:007E:0455:0047,Belaod,Kekokei
04FB:0080:0206:0079,Putarpi Anomoly,Tossan-Lizum systgem,07F1:007C:0EA2:0011,Ekfuruaco Quadrant,Abikom
04FC:007E:0D9F:0079,Ogesson Terminus,Urotosu-Emone,0ABF:007C:024F:0058,Delsing Cloud,Resmans VIII
04FD:007D:0DD6:0079,Wawurun Quadrant,Iersaf-Harei,067E:0080:01A7:0002,Inglave Mass,Shgarxun XVIII
04FD:0080:083F:0079,Jalkuy Cluster,Hawesthe XIV,0AD1:0080:0720:0069,Wahuncho Cloud,Legoro
04FD:0083:06A3:0079,Myerkr,Kunidonac XVI,082A:007F:04C4:0077,Ackpois Anomaly,Yokoriy
04FF:007E:060E:0079,Lawheeme Void,Iajianq-Lisvik,0559:0080:0A4F:003E,Mopath Spur,Xiling-Batu
0502:007C:0DF5:0079,Jusenas Terminus,Surugas,0191:007D:067A:0059,Guborgitt Cloud,Tesfort
0502:007E:0245:0079,Opmano Shallows,Latonsta,06A6:007F:01BF:0072,Birlet Boundary,Eyndat
0502:007E:0991:0079,Ueblesk,Nogweifald,0944:007E:04EE:0039,Huldept Band,Gehwortha
0502:007F:0221:0079,Utking Quadrant,Sewulan-Gojo XI,019C:007D:06A6:0039,Isetsev Quadrant,Layansky XVI
0502:0083:0413:0079,Iyyamiw Band,Eqongju-Rindar,07FB:0081:0CDC:0072,Nerepontau Conflux,Fuxiany
0502:0083:0A01:0079,Yuggerm Anomaly,Mintserag XII,0A48:007F:054B:0048,Noquad,Ombanagd V
0503:007C:08F1:0079,Aiyanelo,AGT Cel-Iaraca XI,06C9:0080:052E:006E,Ryoinc Shallows,AGT Cel-Nunsiylva
0503:007D:08FE:0079,Agator Anomaly,Nivater,0B02:007F:08A9:0058,Netaligu,Akranse-Kugrov
0503:007E:0B5F:0079,Hedesco Boundry,Belayank,0C72:0082:07EB:001E,Deygena Shallows,Ligonn
0503:007F:01F3:0079,Mijari Fringe,Dohanestr,0817:0082:0152:006D,Ujanggal Anomaly,Rewaiata
0504:007C:02CE:0079,Lelbre,Hizhou-Oundi,05DB:0080:0278:0046,Ragranov Expanse,Ivholts-Usoh
0504:007E:0386:0079,Mytaemno Cloud,Xobangt-Ilban,05E0:007B:0CDF:0037,Hinoussa,Ircind-Riho VIII
0504:007F:031C:0079,Rombro Cloud,Viyazems,056B:007C:02F2:001B,Rograf Boundary,Satogq
0504:0082:070B:0079,Vazove Shallows,Wanaoeda XVI,0783:007B:04F8:0054,Andezhao,Dehuixi-Uonum
0505:0082:044B:0079,Huokapa Anomaly,Otural,0BEB:007E:056A:0027,Iossev Anomaly,Retakas
0505:0082:0BB9:0079,Niluson Nebula,Vinsko,0CA4:007C:08CE:0023,Tischongl Void,Aiugyor-Daybo
0506:007C:062A:0079,Tijonadsk Spur,Nurlovoy II,0AD6:0080:09EC:0047,Ragittr Instability,Grendu-Relbuq VI
0506:007D:0A51:0079,Viktor Spur,Polympt-Haler,04B7:007D:09B8:0072,Foniuk,Iginit
0506:0080:04E5:0079,Sea of Raddam,Tabetje,0C3B:007D:0829:0042,Ulcovela Terminus,Jumniarec III
0507:007C:029C:0079,Aopiango,jingb,0222:0080:09A0:0076,Irvaiz Terminus,Qongushen
0508:007C:0E66:0079,Sea of Lokeredi,Lodfotog,02E5:007F:0333:0004,Iculacar Cloud,Bikinam-Iksy
0508:007F:0722:0079,Bijaoissy Band,Izenta-Yixi VI,0AA5:0080:0689:005D,Yilkano Void,Naqang
0508:0082:067B:0079,Naurig Shallows,Vaiush,04D2:007C:08C3:0058,Udneri,Nugcheong XII
0509:007C:0399:0079,Suttom Terminus,Aringarns XIV,0C00:0083:049A:000D,Herdneva Cloud,Oshkal-Elxi I
0509:007F:0638:0079,Olcenn Conflux,Yasheq-Cangj,0570:007B:0A3A:0042,Deslach Shallows,Abayas III
0509:0080:0BF5:0079,Agchil,Ebekin-Oenn V,06D3:0082:0340:002F,Iwnsete Anomaly,Miehboga
0509:0081:047C:0079,Dezhaoki,Poindalam,0870:007D:037C:0043,Ethgea Cloud,Voyazneyk
0509:0081:0A6C:0079,Xoformb Boundary,Ryolko-Vilhe,04FB:007E:05BD:0044,Noanga Boundary,Cebren
050B:007E:0468:0079,The Arm of Abresta,Ablinta,0BED:0083:059F:0020,Xavara,Moriya-Yitis
050B:007E:0CA5:0079,Aicuspejb Shallows,CVS-136 A New Path,0D70:007F:07CD:0058,Mocorpiu,"CVS-137 Rossei's Faithful Followers"
050B:0082:06B9:0079,Pimava Instability,Sayevs-Kahok,058B:007E:0604:0051,Udslace Quadrant,Yechebar
050C:007F:0AF3:0079,Ocopii Spur,Zehchyo-Zonog System ,0841:007B:03E3:0027,Ledston Spur,Amoniusi System 
050C:0083:0865:0079,Nevenumcl Band,Higham,0A76:0080:098C:006A,The Arm of Adjuru,Naibolo
050D:007C:0ABA:0079,Levailo Expanse,Woldbur XV,0B8E:007B:0648:0078,Olkhofe,Lesosi
050D:0080:062F:0079,Subisa,Tudupp-Lopug,0614:007D:0ACE:0034,Merbik Expanse,Tilocrisc
050E:007B:0475:0079,Rexanekep Quadrant,Nikuroma,0711:007F:0C72:002E,Nagatolo,Aiziniara
050E:007F:0C2B:0079,Wodaver Shallows,Aoniuh-Haxil,03B4:0082:0557:0038,Ozinsont Boundary,Ibaiosi-Ufor
050E:0081:0E23:0079,Sea of Kuhodies,Unitai-Rig System,0EA2:007C:0936:005B,Koyerul Expanse,Suurak System
050E:0082:085D:0079,Otyata,Brotoarh,0928:007C:0AA8:0058,Sea of Uxiann,Oncheg-Ouyun
